tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
10193,Toy Story 3,2010-06-16,1067316101,12.2536,7.804,"[16, 10751, 35]",0
12155,Alice in Wonderland,2010-03-03,1025467110,12.8273,6.637,"[10751, 14, 12]",0
12444,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,954305868,16.304,7.736,"[12, 14]",0
27205,Inception,2010-07-15,839030630,33.5223,8.37,"[28, 878, 12]",0
10192,Shrek Forever After,2010-05-20,752600867,9.7586,6.4,"[35, 12, 14, 16, 10751]",0
24021,The Twilight Saga: Eclipse,2010-06-23,698491347,8.1255,6.199,"[12, 14, 18, 10749]",0
10138,Iron Man 2,2010-04-28,623933331,22.0941,6.85,"[12, 28, 878]",0
38757,Tangled,2010-11-24,592461732,17.4954,7.61,"[16, 10751, 12]",0
20352,Despicable Me,2010-07-08,543284256,15.255,7.256,"[10751, 35, 16, 878, 28]",0
10191,How to Train Your Dragon,2010-03-18,495141736,14.22,7.855,"[14, 12, 16, 10751]",0
18823,Clash of the Titans,2010-03-26,493214993,6.6223,5.918,"[12, 14, 28]",0
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,415686217,6.1809,6.443,"[12, 10751, 14]",0
45269,The King's Speech,2010-11-26,414211549,5.7622,7.733,"[18, 36]",0
20526,TRON: Legacy,2010-12-14,409912892,9.9857,6.533,"[12, 28, 878]",0
38575,The Karate Kid,2010-06-10,359126022,10.1759,6.6,"[28, 12, 18, 10751]",0
9543,Prince of Persia: The Sands of Time,2010-05-19,336365676,6.0192,6.296,"[12, 14, 28]",0
44214,Black Swan,2010-12-03,329398046,10.6811,7.687,"[18, 53, 27]",0
38055,Megamind,2010-10-28,321885765,10.3628,7.017,"[16, 28, 35, 10751, 878]",0
20662,Robin Hood,2010-05-12,321669741,6.2361,6.393,"[28, 12, 36]",0
10196,The Last Airbender,2010-06-30,319713881,4.8592,4.647,"[28, 12, 14]",0
39451,Little Fockers,2010-12-21,310650585,3.2007,5.657,"[35, 10749]",0
35791,Resident Evil: Afterlife,2010-09-01,300228084,0.3083,6.056,"[28, 12, 27, 878]",0
11324,Shutter Island,2010-02-14,294804195,16.242,8.2,"[18, 53, 9648]",0
27576,Salt,2010-07-21,293329073,6.7819,6.413,"[28, 9648, 53]",0
37786,Sex and the City 2,2010-05-26,290700000,4.0298,6.1,"[35, 18, 10749]",0
37710,The Tourist,2010-12-08,278731369,4.1732,6.178,"[28, 53, 10749]",0
27578,The Expendables,2010-08-07,274470394,9.7392,6.248,"[53, 12, 28]",0
38365,Grown Ups,2010-06-24,271457606,12.9336,6.397,[35],0
37834,Knight and Day,2010-06-15,261989769,6.1067,6.228,"[28, 35]",0
